,Id,Sentiment,Text Tweet,Clean Text Sentiment Film
62,63,negative,@pandji @InsyaAllahSah Film busuk dan artis dungu merusak bhineka,pandji insyaallahsah film busuk artis dungu rusak bhineka
63,64,negative,"Kecewa dgn plot cerita film dengan the guys, critanya seakan lompat ga ada proses visual yg bs bikin kta mengerti mengapa amira suka sm alfi",kecewa plot cerita film the guys critanya akan lompat proses visual bikin erti amira suka alf
64,65,negative,jijik banget sama film ini. apalagi pas dia jadi kelinci gede-_- nightmare parah. https://t.co/eDoiFuS8P5,jijik banget film pas kelinci gede nightmare parah
65,66,negative,"bnyak yg bilang film Mummy jelek, pdahl pengen nonton",bnyak bilang film mummy jelek pdahl nonton
66,67,negative,"Banyak yang bilang, film ini jelek. Daur ulang yang gagal. Di imdb dan ratattote aja ratingnya anjlok. Tp menurutku, aku suka sama film ini",bilang film jelek daur ulang gagal imdb ratattote ratingnya anjlok turut suka film
67,68,negative,Naruto adalah film paling bodoh ke-8 haha #faktanya #quote,naruto film bodoh haha fakta quote
68,69,negative,Gw ekspektasinya film ini punya kekuatan narasi yg gw bisa jadiin motivasi. Tp kalimat inspiratifnya kurang banyak hehehe,ekspektasinya film kuat narasi jadiin motivasi kalimat inspiratifnya hehehe
69,70,negative,Film e hambar,film e hambar
70,71,negative,"Film The Mummy menurut gue gak sesuai harapan, agak agak gimana gitu filmnya, weird. Dan bukan film tipe bang tom seperti biasanya -_-""",film the mummy sesuai harap film weird film tipe bang tom
71,72,negative,yah kirain film baru wkwk penonton kecewaa,kirain film wkwk tonton kecewaa
72,73,negative,"Mau bilang jelek ya bilang aja, sekalipun yg buat film itu teman sendiri. Sebut ""filmya bagus"" padahal biasa aja ngga bkin tmen lu maju sih.",bilang jelek bilang film teman filmya bagus bkin teman maju
73,74,negative,"Abis nonton King Arthur. Temen gw pesen, sblm nonton ""loh, itu film jelek katanya"" jgn selalu percaya ama pesen yg ada unsur ""KATANYA"" ..",habis nonton king arthur temen pesan nonton loh film jelek percaya pesan unsur
74,75,negative,Kadang lebih gampang nilai film jelek ketimbang nilai film bagus. Mbuh.,kadang gampang nilai film jelek ketimbang nilai film bagus
75,76,negative,Ini film apa dah. Baru mulai udh bgni-_- jijk,film bgni jijk
76,77,negative,"Film Kartini menang pd pemain"" film yg kelas atas yg sudah punya nama. Tapi ceritany kurang dapat dan kurang riset menurut saya.",film kartini menang pd main film kelas nama ceritany riset
77,78,negative,"Entah aku yg kurang belajar sejarah apa gimana, tapi entah kenapa konflik yg ditampilkan di film Kartini kaya kurang memenuhi ekspektasi aja",ajar sejarah konflik tampil film kartini penuh ekspektasi
78,79,negative,"Film itu kalau byk di sensor, rasanya g ada, hambar",film sensor hambar
79,80,negative,Semoga ga busuk kyk film yg pertama,moga busuk film
80,81,negative,Flm apa ini :) arah dan tujuannya nggak jelas.. Nyesel download ! Sabar... Ini ujian ! — menonton Hangout Film,flm arah tuju sesal download sabar uji tonton hangout film
81,82,negative,Hari ini nonton film terasa; hambarr,nonton film hambarr
82,83,negative,Kurang mengerti sama film nya the mummy..,erti film nya the mummy
83,84,negative,Kecewa banyak deh pkoknya.. Setidaknya mslh jam tayang bs aja ngertiin tp klu film di cut itu yg g bs dingertiin #KaulahTakdirkuMembelamu,kecewa deh pokok jam tayang ngertiin film cut dingertiin kaulahtakdirkumembelamu
84,85,negative,"Pernah novel favorit di filmkan & hasilnya bikin kecewa parah. Tp dari teaser #CriticalEleven saya yakin, team CE serius sama film ini",novel favorit film hasil bikin kecewa parah teaser criticaleleven team ce serius film
85,86,negative,"Intinya, kmren kecewa bgt sama @cinema21 krna mmbiarkan anak kecil nnton film dewasa & jam tayang malam (20.30 WIB) pula #CriticalEleven",inti kemarin kecewa banget cema mmbiarkan anak nonton film dewasa jam tayang malam wib criticaleleven
86,87,negative,Aduh! Film bagian ini jijk parah,aduh film jijk parah
87,88,negative,Kecewa parah nnton film the guys ini. Entah kenapa makin ksini radit bkin film gapernah bener. Lucu juga nggak. Jalan cerita juga gadapet...,kecewa parah nonton film the guys kesini radit bkin film bener lucu jalan cerita gadapet
88,89,negative,"Agak kecewa sama film Danur, diluar ekspektasi :(",kecewa film danur luar ekspektasi
89,90,negative,Ancur bgt itu film. Jelekk,hancur banget film jelekk
90,91,negative,Flm nya jelekk bingittsss.,flm nya jelekk
91,92,negative,"Film hangout kok biasa aja sih, malah gak jelas sepertinya. Kecewaa",film hangout kecewaa
92,93,negative,Ternyata ending film kamar 207 jelekk,ending film kamar jelekk
93,94,negative,Filmnya aja ngehek...... ini seriesnya ngehek juga ga,film ngehek seriesnya ngehek
94,95,negative,Kurang suka sama film #pesbukers cewe2 terllu terbuka penampilannya. Kurang baik klo di tonton anak kecil,suka film pesbukers cewek buka tampil tonton anak
95,96,negative,Buried ini film budget termurah dengan tingkat depresi tertinggi,buried film budget murah tingkat depresi tinggi
96,97,negative,"lalu setelah film berakhir, mikir ''ngapain nonton film yang isinya anak sma semua..'' terus agak nyesel :(",film berfikir ngapain nonton film isi anak sma sesal
97,98,negative,"Gila, film Britney Ever After jelek banget parah! Nyesel nonton walau gak sampe abis.",gila film britney ever jelek banget parah sesal nonton habis
98,99,negative,"Film danur nggak seperti novelnya. Harapan lebih serem ternyata cuman bikin boring. Sorry teh, tapi novelnya lebih bagus :)",film danur novel harap rem bikin bosan sorry teh novel bagus
99,100,negative,ga bakal gua nonton film setan indonesia thur. mengecewakan semua. murahan cuma ngandelin sex,nonton film setan indonesia thur kecewa murah ngandelin sex
100,101,positive,"Keren bang flm lo @radityadika persahabatan, keluarga dan cinta kentel banget. Tokoh pemain pas semua keren bang",keren bang flm radityadika sahabat keluarga cinta banget tokoh main pas keren bang
101,102,positive,"Habis nonton film Kong: Skull Island 2017. Lumayan greget filmnya, 7.5 deh.. layak buat nobar",habis nonton film kong skull island lumayan film deh layak nobar
102,103,positive,"Bravo untuk #filmkartini! Pemainnya bagus, sudut pandang ceritanya pun menarik. Film yang penting untuk ditonton perempuan dan juga lelaki.",bravo filmkartini main bagus sudut pandang cerita tarik film tonton perempuan lelaki
103,104,positive,Abis nonton film #kartini. Bagussss bgt! Dr awal sampe akhir haruuuu,habis nonton film kartini bagussss banget haruuuu
104,105,positive,#RomanHarusBertahan bangga menyukai film yg mengandung bnyak makna sperti ini.. @RompisRepost @LayarDrama_RCTI,romanharusbertahan bangga suka film kandung bnyak makna sperti rompisrepost layardrama rcti
105,106,positive,"Tiga kata untuk film #danur : cukup, dramatis dan laris.",film danur dramatis laris
106,107,positive,Film kartini.. Meski aku agak telat nontonnya. film ini bagus banget...kalian sukses mendeliver cerita dan pesan.. good job guys... ,film kartini telat nontonnya film bagus bangetkalian sukses mendeliver cerita pesan good job guys
107,108,positive,Aku menangis di akhir film kartini #banggafilmindonesia,menang film kartini banggafilmindonesia
108,109,positive,"pokoknya kalian harus nonton film kartini, asli KEREN ! @LegacyPictures @Hanungbramantyo nonton di bioskop ya, bikinnya susah loh",pokok nonton film kartini asli keren legacypictures hanungbramantyo nonton bioskop bikin susah loh
109,110,positive,"film divergent seru-_- ah kenapa udh selesai sih-,-",film divergent seru selesai
110,111,positive,"Tentang Get Out. kalo masih ada, cepetan nonton. mending nonton ini dulu daripada Fast Furious 8 http://tz.ucweb.com/4_OaOo ",get out cepetan nonton mending nonton fast furious
111,112,positive,Saya suka video @YouTube http://youtu.be/JxTmtJ0Fc2U?a  TRAILER FILM THE GUYS (di bioskop 13 April 2017),suka video youtube trailer film the guys bioskop april
112,113,positive,"Agak kebanyakan nangis2nya untuk selera saya, tapi secara keseluruhan sy kagum dengan film #Kartini.",banyak nang selera kagum film kartini
113,114,positive,"thank you buat mas @awisuryadi dan tim yg uda buat Danur. film nya keren banget.buat tmn2 yg belum nonton, silakan ditonton. rekomended.",thank mas awisuryadi tim danur film nya keren bangetbuat teman nonton sila tonton rekomended
114,115,positive,#DANUR film horor Indonesia terlaris sepanjang masa dengan 2.690.000 penonton sejak tayang 30 Maret 2017. #ManojPunjabi #DanurMovie,danur film horor indonesia laris tonton tayang maret manojpunjabi danurmovie
115,116,positive,"Bertambah lagi film Indonesia yang bakal jadi favorite. Ya, #CriticalEleven setelah baca buku & nonton. Gak kecewa. Sama2 Bagus @ikanatassa",tambah film indonesia favorite criticaleleven baca buku nonton kecewa bagus ikanatassa
116,117,positive,nah ini. coba nonton filmnya deh. asik parah ,coba nonton film deh asik parah
117,118,positive,"Nonton Get Out bener2 gk punya ekspektasi apa2, cuma tertarik karna ini filmnya Jordan Peele, dan puas!! Keren parah, film sakit jiwa ini.",nonton get out bener ekspektasi tarik film jordan peele puas keren parah film sakit jiwa
118,119,positive,"Kalo lagi nyari film comedy, ini recomended nih... Lucu parah! Asli! ",nyari film komedi recomended lucu parah asli
119,120,positive,"Cek tread ini aja, Film gak terkenal yang ternyata asik di tonton - https://kask.us/hezsL  banyak nemu film bagus disini.",cek tread film kenal asik tonton temu film bagus
120,121,positive,Sekarang lagi ada film yang bagus banget di bioskop. Judulnya Ziarah. Film Indonesia yang patut diapresiasi.,film bagus banget bioskop judul ziarah film indonesia patut apresiasi
121,122,positive,"Critical eleven film yang bagus. Dari cerita, pemain sampai gambarnya, semuanya bagus. Puas banget dah nontonnya.",critical eleven film bagus cerita main gambar bagus puas banget nontonnya
122,123,positive,Film Ziarah sangat layak ditonton. Pengen peluk sutradaranya yang sukses mengarahkan pemeran mbah Sri - peran umur 95 thn.,film ziarah layak tonton peluk sutradara sukses arah per mbah sri peran umur
123,124,positive,Dan akhirnya setelah nunggu setahun mulai juga ni film #KantiniDHijabers,nunggu tahun ni film kantinidhijabers
124,125,positive,Satu satunya film indonesia yg gue tunggu bgt buat di tonton. Setelah liat filmnya lgsg gagal moveon. Pgn nnton lagiii #CriticalEleven,satu film indonesia tunggu banget tonton lihat film langsung gagal moveon nonton lagiii criticaleleven
125,126,positive,Tp rasa bangga-nya pasti akan berkali2 lipat kalo film perdananya bisa meledak di pasaran dan tercatat menjadi film terlaris.,bangga kali lipat film perdana ledak pasar catat film laris
126,127,positive,"@CenayangFilm mbah, cucumu barusan nonton Night Bus. gila, keren gini ya. tinggal dikit lagi layarnya di bandung mbah, kasian :(",cenayangfilm mbah cucu barusan nonton malam bus gila keren tinggal layar bandung mbah kasihan
127,128,positive,"film indonesia terbaik tahun lalu yang saya tonton. #ziarah diputar di bioskop 18 mei 2017. catat di hape, tonton di hari pertamanya.",film indonesia baik tonton ziarah putar bioskop mei catat hp tonton pertama
128,129,positive,Dari awal sampe akhir kagum banget sama film the guys raditya dkk kocak banget @cinema21 @sorayafilms #21TheGuysQuiz,kagum banget film the guys raditya kawan kocak banget cema sorayafilms theguysquiz
129,130,positive,"Papa mama aku juga ikut nonton , mereka termasuk critical sm Film Indonesia,mereka blg film ini Bagus sekali :) terimakasi @Hanungbramantyo",papa mama nonton critical film indonesiamereka bilang film bagus terimakasi hanungbramantyo
130,131,positive,"Sumpah film danur bagus banget. yg ini nihh baru dapat film yang kenyataan bener,..seru bikin ngageting #DanurMovie",sumpah film danur bagus banget nihh film nyata benerseru bikin ngageting danurmovie
131,132,positive,Buat yg udah nonton The Guys. Pilihan nonton di @cinema21 lainnya adalah #Unlocked film action yg seru. Cocok buat nemenin pas long weekend.,nonton the guys pilih nonton cema unlocked film aksi seru cocok tani pas long weekend
132,133,positive,Nonton Film The Guys. Filmnya ngakak Abis ada sedihnya juga film dengan paket yg komplit hehehehe Sukses terus @radityadika,nonton film the guys film tertawa habis sedih film paket komplit hehehehe sukses radityadika
133,134,positive,Sumpah ini film bagus bngt! Nonton berkali-kali gapernah bosen film the guys sangat menginspirasi tnx bang udah buat film ini @radityadika,sumpah film bagus bngt nonton berkalikali bosen film the guys inspirasi tnx bang film radityadika
134,135,positive,Kalo belom nonton Kartini harus banget sih nonton! Sama film korea judulnya Obsessed tp 18+++ huehe (),bom nonton kartini banget nonton film korea judul obsessed huehe
135,136,positive,Nangis itu gegara nonton film kartini (1982) yang epic banget.,nang nonton film kartini epic banget
136,137,positive,"Dan film ZIARAH ini muatannya berlapis. Tentang hidup, tentang cinta, tentang sejarah, tentang misteri, banyak sekali yang bisa disimak.",film ziarah muat lap hidup cinta sejarah misteri simak
137,138,positive,"90.4| Film ""Kartini"" bisa ditonton oleh semua umur. Karena film ini selain menghibur juga mendidik dan menginspirasi #FFF",film kartini tonton umur film hibur didik inspirasi fff
138,139,positive,"Film sejarah, jarang sekali di negara ini. Jika membaca sejarah saja kita enggan setidaknya tontonlah filmnya @Hanungbramantyo Kartini",film sejarah jarang negara baca sejarah enggan tonton film hanungbramantyo kartini
139,140,positive,"Pengerjaan film #Kartini terasa sangat sungguh2. Baik dari pemain maupun produksi. Selamat ya, Mas @Hanungbramantyo",kerja film kartini sungguh main produksi selamat mas hanungbramantyo
140,141,positive,Lapor mbah @CenayangFilm film ini keren. Worth to watch. Syukur2 bisa instrospeksi diri abis nonton.,lapor mbah cenayangfilm film keren worth watch syukur instrospeksi habis nonton
141,142,positive,"thanks for today @andibowooo :-* film #TheBossBaby bagus banget dapet feel nya dari lucu, ketawa , amazing pokonya ",terimakasih andibowooo film thebossbaby bagus banget dapet feel nya lucu tertawa kagum poko
142,143,positive,Film Ziarah teramat sangat keren. Bangga. Layak dapat Oscar...,film ziarah amat keren bangga layak oscar
143,144,positive,Barusan bgt kelar nntn @filmziarah film lokal pertama yg gue tonton dan berhasil bikin nangis @bewe_bw speechless liat aktingnya @alitalit_,barusan banget kelar filmziarah film lokal tonton hasil bikin nang bewe bw speechless lihat akting alitalit
144,145,positive,Bahagia telah dipertemukan dengan film keren ini ,bahagia temu film keren
145,146,positive,Film Kartini bagus bangettt!!!! Wajib ditonton!,film kartini bagus bangettt wajib tonton
146,147,positive,minggu lalu nonton #DANUR mau review seneng juga sih film horror Indonesia sudah bagus lagi @CenayangFilm @ScreenSaversID,minggu nonton danur tinjau senang film horror indonesia bagus cenayangfilm screensaversid
147,148,positive,"#FilmKartini menginspirasi untuk berjuang menjunjung nilai kebenaran, bukan dominasi penguasa dan kekakuan budaya @LegacyPictures",filmkartini inspirasi juang junjung nilai benar dominasi kuasa kaku budaya legacypictures
148,149,positive,"10. Kalaupun mau bikin film horror, film Danur bisa jadi rujukan .. ringan tapi menakutkan ",bikin film horror film danur rujuk ringan takut
149,150,positive,Banyak moral yg bisa dipetik dari film wonder woman. Salah satunya adalah menjaga auratmu dr cowok hidung belang ?,moral petik film wonder wanita salah satu jaga aurat cowok hidung belang
150,151,positive,Berikut 5 film horor Indonesia berpendapatan tinggi dalam 10 tahun terakhir. Dapatkan tiket @DanurMovie di http://bit.ly/belidanur,film horor indonesia dapat dapat tiket danurmovie
151,152,positive,Trust me. #GetOut itu tipe film paling nyaman dinikmati saat kita gak tau sama sekali filmnya mau kemana. Kalau sudah baca sana-sini ya beda,percaya me getout tipe film nyaman nikmat tau film mana baca sanasini beda
152,153,positive,Nonton film #getout berbudget minim tp hasilnya sungguh tk diduga bgtu jenius smp mkir brulang apa yg sbnrnya trjadi,nonton film getout berbudget minim hasil sungguh tk duga jenius smp mkir brulang trjadi
153,154,positive,Ini salah satu film yg simple tapi hasilnya luarbiasa. Ga aneh film #GetOut dapet critical acclaim.,salah film simpel hasil luarbiasa aneh film getout dapet critical acclaim
154,155,positive,"Dan sy bahagia krn film sebagus @filmziarah ditonton oleh mrk. Kalaupun mrk ditugasi gurunya, gurunya itu bagus #filmziarah",bahagia film bagus filmziarah tonton tugas guru guru bagus filmziarah
155,156,positive,"pokoknya kalian harus nonton film kartini, asli KEREN ! @LegacyPictures @Hanungbramantyo nonton di bioskop ya, bikinnya susah loh",pokok nonton film kartini asli keren legacypictures hanungbramantyo nonton bioskop bikin susah loh
156,157,positive,"Film Kartini bagus banget, sebelah saya sampe nangis, artinya film ini mampu memberikan keresahan pada penontonnya.",film kartini bagus banget belah nang film resah tonton
157,158,positive,"Ini film keren, banyak falsafah hidup. Salut",film keren falsafah hidup salut
158,159,positive,"Males2an diajak liat The Guys, karena masih ngerasa duit terbang percuma pasca nonton Hangout. Eh ini beda ternyata tjoy, film ini keren.",malesan ajak lihat the guys duit terbang pasca nonton hangout eh beda tjoy film keren
159,160,positive,"Permintaan terbuka untuk warganet Indonesia. Jikalau ada waktu + kesempatan, tontonlah film ""Ziarah"". Salah satu yg terbaik yg pernah ada~ ",minta buka warganet indonesia sempat tonton film ziarah salah baik
160,161,positive,"Sampai hari ini, aku masih terngiang2 Film Critical Eleven, ya Tuhan. Betapa aku banyak belajar dr menonton itu. Hemmmm",ngiang film critical eleven tuhan betapa ajar tonton hemmmm
161,162,positive,habis liat Film kartini yg luar biasa...pemikiran dan gerakan kartini hrs di lanjutkan,habis lihat film kartini biasapemikiran gera kartini lanjut
162,163,positive,#filmkartini @Hanungbramantyo sangat layak utk diapresiasi tinggi. Tak ada gading yg tak retak. Tp cuma retak samar. Film ini BAGUS!,filmkartini hanungbramantyo layak apresiasi gading retak retak samar film bagus
163,164,positive,"Di Film Danur, justru yang membuat saya terkesan sosok Asih. Expresi yang datar, tanpa kata membuat penasaran,... http://fb.me/1uxomgQjS",film danur kes sosok asih expresi datar penasaran
164,165,positive,Danur seru bangat flm nya Yg blm nonton harap nonton #l4like,danur seru bangat flm nya nonton harap nonton llike
165,166,positive,Film-film tersebut juga cocok lho ditonton bareng anak Anda. Yuk mulai nonton lagi film berkualitas dari Indonesia #BTInd,filmfilm cocok lho tonton bareng anak yuk nonton film kualitas indonesia btind
166,167,positive,"Gue udah nonton bang, sumpah pecah banget nih film karena berhasil bikin mewek nontonnya ? https://t.co/e9UbwUtbQJ",nonton bang sumpah pecah banget film hasil bikin nang nontonnya
167,168,positive,nih film komedi lucu bangt bahasa jawa https://t.co/46I52na21l https://t.co/TopkrZd0DZ,film komedi lucu bangt bahasa jawa
168,169,positive,Awalnya sih sempet khawatir setiap liat film adaptasi dr novel takut gak sesuai ekspektasi tp #CriticalEleven malah bikin speechless.,sempet khawatir lihat film adaptasi novel takut sesuai ekspektasi criticaleleven bikin speechless
169,170,positive,Salah satu film yg gak pernah bikin bosen ditonton berapa kali pun: The Intern. What a lovely movie. @CenayangFilm,salah film bikin bosen tonton kali the intern a lovely movie cenayangfilm
170,171,positive,"Gk nysel aku bg, uda ntn vlog mu yang the guys dri awal smpe akhir, dan akhrnya terbayarkan sama film mu bang kern kli @radityadika seriusan",nysel bg nonton vlog mu the guys akhrnya bayar film mu bang kern kli radityadika serius
171,172,positive,Tadi abis nonton @GetOutMovie. Gokil sih premisnya. Keren lah itu film.,habis nonton getoutmovie gokil premis keren film
172,173,positive,@ernestprakasa Slamat koh ernes atas kemenangan film cek toko sebelahnya Kita kuat karna kita beragam bukan seragam,ernestprakasa selamat koh ernes menang film cek toko belah kuat agam seragam
